SEMANA;PLANTA;GRUPO_VARIEDAD;ID_CALIBRE;KILOS_ESTIMADOS
202352;GF MALLOA;LA;LXYZABCDE;39901,96692
202352;GF MALLOA;LA;LXYZBB;5985,295038
202352;GF MALLOA;LA;LXYZWAA;23941,18015
202352;GF MALLOA;LA;LXYZWAB;29926,47519
202352;GF MALLOA;LA;LXYZWABC;33916,67188
202352;GF MALLOA;LA;LXYZWABCD;37906,86857
202352;GF MALLOA;LA;LXYZWABCDE;39901,96692
202352;GF MALLOA;LA;LXYZWBB;5985,295038
202352;GF MALLOA;LA;LXZWAA;16950,34242
202352;GF MALLOA;LA;LXZWAB;21187,92803
202352;GF MALLOA;LA;LXZWABC;24012,9851
202352;GF MALLOA;LA;LXZWABCD;26838,04217
202352;GF MALLOA;LA;LXZWABCDE;28250,57071
202352;GF MALLOA;LA;LXZWBB;4237,585606
202352;GF MALLOA;LA;LXYBC;2912,849054
202352;GF MALLOA;LA;LXZBC;7062,642676
202352;GF MALLOA;LA;LXYWBC;8777,403115
202352;GF MALLOA;LA;LXYZBC;9975,49173
202352;GF MALLOA;LA;LXYZWBC;9975,49173
202352;GF MALLOA;LA;LXZWBC;7062,642676
202352;GF MALLOA;LA;LXWBCD;8210,375687
202352;GF MALLOA;LA;LXYBCD;4077,988675
202352;GF MALLOA;LA;LXZBCD;9887,699747
202352;GF MALLOA;LA;LXYWBCD;12288,36436
202352;GF MALLOA;LA;LXYZBCD;13965,68842
202352;GF MALLOA;LA;LXYZWBCD;13965,68842
202352;GF MALLOA;LA;LXZWBCD;9887,699747
202352;GF MALLOA;LA;LXWBCDE;9383,286499
202352;GF MALLOA;LA;LXYBCDE;4660,558486
202352;GF MALLOA;LA;LXZBCDE;11300,22828
202352;GF MALLOA;LA;LXYWBCDE;14043,84498
202352;GF MALLOA;LA;LXYZBCDE;15960,78677
202352;GF MALLOA;LA;LXYZWBCDE;15960,78677
202352;GF MALLOA;LA;LXZWBCDE;11300,22828
202352;GF MALLOA;LA;LXWCC;2345,821625
202352;GF MALLOA;LA;LXYCC;1165,139621
202352;GF MALLOA;LA;LXZCC;2825,057071
202352;GF MALLOA;LA;LXYWCC;3510,961246
202352;GF MALLOA;LA;LXYZCC;3990,196692
202352;GF MALLOA;LA;LXYZWCC;3990,196692
202352;GF MALLOA;LA;LXZWCC;2825,057071
202352;GF MALLOA;LA;LXWCD;4691,643249
202352;GF MALLOA;LA;LXYCD;2330,279243
202352;GF MALLOA;LA;LXZCD;5650,114141
202352;GF MALLOA;LA;LXYWCD;7021,922492
202352;GF MALLOA;LA;LXYZCD;7980,393384
202352;GF MALLOA;LA;LXYZWCD;7980,393384
202352;GF MALLOA;LA;LXZWCD;5650,114141
202352;GF MALLOA;LA;LXWCDE;5864,554062
202352;GF MALLOA;LA;LXYCDE;2912,849054
202352;GF MALLOA;LA;LXZCDE;7062,642676
202352;GF MALLOA;LA;LXYWCDE;8777,403115
202352;GF MALLOA;LA;LXYZCDE;9975,49173
202352;GF MALLOA;LA;LXYZWCDE;9975,49173
202352;GF MALLOA;LA;LXZWCDE;7062,642676
202352;GF MALLOA;LA;LXWDD;2345,821625
202352;GF MALLOA;LA;LXYDD;1165,139621
202352;GF MALLOA;LA;LXZDD;2825,057071
202352;GF MALLOA;LA;LXYWDD;3510,961246
202352;GF MALLOA;LA;LXYZDD;3990,196692
202352;GF MALLOA;LA;LXYZWDD;3990,196692
202352;GF MALLOA;LA;LXZWDD;2825,057071
202352;GF MALLOA;LA;LXWDE;3518,732437
202352;GF MALLOA;LA;LXYDE;1747,709432
202352;GF MALLOA;LA;LXZDE;4237,585606
202352;GF MALLOA;LA;LXYWDE;5266,441869
202352;GF MALLOA;LA;LXYZDE;5985,295038
202352;GF MALLOA;LA;LXYZWDE;5985,295038
202352;GF MALLOA;LA;LXZWDE;4237,585606
202352;GF MALLOA;LA;LXWEE;1172,910812
202352;GF MALLOA;LA;LXYEE;582,5698107
202352;GF MALLOA;LA;LXZEE;1412,528535
202352;GF MALLOA;LA;LXYWEE;1755,480623
202352;GF MALLOA;LA;LXYZEE;1995,098346
202352;GF MALLOA;LA;LXYZWEE;1995,098346
202352;GF MALLOA;LA;LXZWEE;1412,528535
202352;GF MALLOA;LA;LXJWAA;16516,48725
202352;GF MALLOA;LA;LXJYAA;18209,54101
202352;GF MALLOA;LA;LXJZAA;41115,94905
202352;GF MALLOA;LA;LXJYWAA;34726,02825
202352;GF MALLOA;LA;LXJYZAA;59325,49006
202352;GF MALLOA;LA;LXJYZWAA;61767,04756
202352;GF MALLOA;LA;LXJZWAA;43557,50655
202352;GF MALLOA;LA;LXJWAB;20645,60906
202352;GF MALLOA;LA;LXJYAB;22761,92626
202352;GF MALLOA;LA;LXJZAB;51394,93631
202352;GF MALLOA;LA;LXJYWAB;43407,53532
202352;GF MALLOA;LA;LXJYZAB;74156,86257
202352;GF MALLOA;LA;LXJYZWAB;77208,80945
202352;GF MALLOA;LA;LXJZWAB;54446,88319
202352;GF MALLOA;LA;LXJWABC;23398,35693
202352;GF MALLOA;LA;LXJYABC;25796,84976
202352;GF MALLOA;LA;LXJZABC;58247,59449
202352;GF MALLOA;LA;LXJYWABC;49195,20669
202352;GF MALLOA;LA;LXJYZABC;84044,44425
202352;GF MALLOA;LA;LXJYZWABC;87503,31737
202352;GF MALLOA;LA;LXJZWABC;61706,46761
202352;GF MALLOA;LA;LXJWABCD;26151,10481
202352;GF MALLOA;LA;LXJYABCD;28831,77326
202352;GF MALLOA;LA;LXJZABCD;65100,25266
202352;GF MALLOA;LA;LXJYWABCD;54982,87807
202352;GF MALLOA;LA;LXJYZABCD;93932,02593
202352;GF MALLOA;LA;LXJYZWABCD;97797,8253
202352;GF MALLOA;LA;LXJZWABCD;68966,05204
202352;GF MALLOA;LA;LXJWABCDE;27527,47874
202352;GF MALLOA;LA;LXJYABCDE;30349,23501
202352;GF MALLOA;LA;LXJZABCDE;68526,58175
202352;GF MALLOA;LA;LXJYWABCDE;57876,71376
202352;GF MALLOA;LA;LXJYZABCDE;98875,81676
202352;GF MALLOA;LA;LXJYZWABCDE;102945,0793
202352;GF MALLOA;LA;LXJZWABCDE;72595,84425
202352;GF MALLOA;LA;LXJWBB;4129,121812
202352;GF MALLOA;LA;LXJYBB;4552,385252
202352;GF MALLOA;LA;LXJZBB;10278,98726
202352;GF MALLOA;LA;LXJYWBB;8681,507063
202352;GF MALLOA;LA;LXJYZBB;14831,37251
202352;GF MALLOA;LA;LXJYZWBB;15441,76189
202352;GF MALLOA;LA;LXJZWBB;10889,37664
202352;GF MALLOA;LA;LXJWBC;6881,869686
202352;GF MALLOA;LA;LXJYBC;7587,308753
202352;GF MALLOA;LA;LXJZBC;17131,64544
202352;GF MALLOA;LA;LXJYWBC;14469,17844
202352;GF MALLOA;LA;LXJYZBC;24718,95419
202352;GF MALLOA;LA;LXJYZWBC;25736,26982
202352;GF MALLOA;LA;LXJZWBC;18148,96106
202352;GF MALLOA;LA;LXJWBCD;9634,61756
202352;GF MALLOA;LA;LXJYBCD;10622,23225
202352;GF MALLOA;LA;LXJZBCD;23984,30361
202352;GF MALLOA;LA;LXJYWBCD;20256,84981
202352;GF MALLOA;LA;LXJYZBCD;34606,53587
202352;GF MALLOA;LA;LXJYZWBCD;36030,77774
202352;GF MALLOA;LA;LXJZWBCD;25408,54549
202352;GF MALLOA;LA;LXJWBCDE;11010,9915
202352;GF MALLOA;LA;LXJYBCDE;12139,694
202352;GF MALLOA;LA;LXJZBCDE;27410,6327
202352;GF MALLOA;LA;LXJYWBCDE;23150,6855
202352;GF MALLOA;LA;LXJYZBCDE;39550,32671
202352;GF MALLOA;LA;LXJYZWBCDE;41178,0317
202352;GF MALLOA;LA;LXJZWBCDE;29038,3377
202352;GF MALLOA;LA;LXJWCC;2752,747874
202352;GF MALLOA;LA;LXJYCC;3034,923501
202352;GF MALLOA;LA;LXJZCC;6852,658175
202352;GF MALLOA;LA;LXJYWCC;5787,671376
202352;GF MALLOA;LA;LXJYZCC;9887,581676
202352;GF MALLOA;LA;LXJYZWCC;10294,50793
202352;GF MALLOA;LA;LXJZWCC;7259,584425
202352;GF MALLOA;LA;LXJWCD;5505,495749
202352;GF MALLOA;LA;LXJYCD;6069,847002
202352;GF MALLOA;LA;LXJZCD;13705,31635
202352;GF MALLOA;LA;LXJYWCD;11575,34275
202352;GF MALLOA;LA;LXJYZCD;19775,16335
202352;GF MALLOA;LA;LXJYZWCD;20589,01585
202352;GF MALLOA;LA;LXJZWCD;14519,16885
202352;GF MALLOA;LA;LXJWCDE;6881,869686
202352;GF MALLOA;LA;LXJYCDE;7587,308753
202352;GF MALLOA;LA;LXJZCDE;17131,64544
202352;GF MALLOA;LA;LXJYWCDE;14469,17844
202352;GF MALLOA;LA;LXJYZCDE;24718,95419
202352;GF MALLOA;LA;LXJYZWCDE;25736,26982
202352;GF MALLOA;LA;LXJZWCDE;18148,96106
202352;GF MALLOA;LA;LXJWDD;2752,747874
